2024-03-03 21:02:38 |INFO  |NettyClientPublicExecutor_1 |SendDBChangeService.java:38 |ljl.service.send_notice.SendDBChangeService |Message sent successfully: 
2024-03-03 21:02:39 |INFO  |ConsumeMessageThread_1 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 21 message: <[libx264 @ 00000201e249c7c0] using SAR=1/1>
2024-03-03 21:02:39 |INFO  |ConsumeMessageThread_1 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 22 message: <[libx264 @ 00000201e249c7c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2>
2024-03-03 21:02:39 |INFO  |ConsumeMessageThread_1 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 23 message: <[libx264 @ 00000201e249c7c0] profile High, level 3.0, 4:2:0, 8-bit>
2024-03-03 21:02:39 |INFO  |ConsumeMessageThread_1 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 24 message: <[libx264 @ 00000201e249c7c0] 264 - core 164 r3075 66a5bc1 - H.264/MPEG-4 AVC codec - Copyleft 2003-2021 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00>
2024-03-03 21:04:47 |INFO  |ConsumeMessageThread_1 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-03-03 21:04:47 |INFO  |ConsumeMessageThread_1 |ConversionOutputAnalyzer.java:129 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 3 Line: 274 message: <[mp4 @ 00000201e249b880] Starting second pass: moving the moov atom to the beginning of the file>
2024-03-03 21:04:48 |INFO  |ConsumeMessageThread_1 |VideoEncodeConsumer.java:118 |ljl.consumer.video_encode.VideoEncodeConsumer |转码成功
2024-03-03 21:04:54 |INFO  |ConsumeMessageThread_1 |VideoEncodeConsumer.java:120 |ljl.consumer.video_encode.VideoEncodeConsumer |上传新视频成功
2024-03-03 21:05:02 |INFO  |NettyClientPublicExecutor_3 |SendDBChangeService.java:38 |ljl.service.send_notice.SendDBChangeService |Message sent successfully: 
2024-03-03 21:05:04 |INFO  |NettyClientPublicExecutor_2 |SendNoticeService.java:42 |ljl.service.send_notice.SendNoticeService |Message sent successfully: 
2024-03-03 21:05:05 |INFO  |NettyClientPublicExecutor_3 |SendNoticeService.java:144 |ljl.service.send_notice.SendNoticeService |ok
2024-03-03 21:05:05 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:66 |ljl.consumer.video_encode.VideoEncodeConsumer |到了
2024-03-03 21:05:07 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:68 |ljl.consumer.video_encode.VideoEncodeConsumer |结束了
2024-03-03 21:05:07 |INFO  |NettyClientPublicExecutor_1 |SendDBChangeService.java:38 |ljl.service.send_notice.SendDBChangeService |Message sent successfully: 
2024-03-03 21:05:08 |INFO  |ConsumeMessageThread_2 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 21 message: <[libx264 @ 000001d31f86c7c0] using SAR=1/1>
2024-03-03 21:05:08 |INFO  |ConsumeMessageThread_2 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 22 message: <[libx264 @ 000001d31f86c7c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2>
2024-03-03 21:05:08 |INFO  |ConsumeMessageThread_2 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 23 message: <[libx264 @ 000001d31f86c7c0] profile High, level 3.0, 4:2:0, 8-bit>
2024-03-03 21:05:08 |INFO  |ConsumeMessageThread_2 |ConversionOutputAnalyzer.java:103 |ws.schild.jave.ConversionOutputAnalyzer |Unhandled message in step: 2 Line: 24 message: <[libx264 @ 000001d31f86c7c0] 264 - core 164 r3075 66a5bc1 - H.264/MPEG-4 AVC codec - Copyleft 2003-2021 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00>
2024-03-03 21:05:23 |INFO  |SpringApplicationShutdownHook |DefaultRocketMQListenerContainer.java:254 |org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer |container destroyed, DefaultRocketMQListenerContainer{consumerGroup='video-encode-group', nameServer='120.55.183.155:9876', topic='video-encode', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2024-03-03 21:05:23 |INFO  |SpringApplicationShutdownHook |DefaultRocketMQListenerContainer.java:254 |org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer |container destroyed, DefaultRocketMQListenerContainer{consumerGroup='mysql-es-group', nameServer='120.55.183.155:9876', topic='mysqlToEs', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2024-03-03 21:05:23 |INFO  |SpringApplicationShutdownHook |DefaultRocketMQListenerContainer.java:254 |org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer |container destroyed, DefaultRocketMQListenerContainer{consumerGroup='like-group', nameServer='120.55.183.155:9876', topic='like', consumeMode=ORDERLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
