2024-03-01 03:03:22 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:22 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:22 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:23 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:23 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
2024-03-01 03:03:23 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:49 |ljl.chat.handler.BigModelHandler |publish
2024-03-01 03:03:24 |INFO  |OkHttp https://spark-api.xf-yun.com/... |BigModelHandler.java:98 |ljl.chat.handler.BigModelHandler |线程1
2024-03-01 03:03:24 |INFO  |ForkJoinPool.commonPool-worker-3 |BigModelHandler.java:114 |ljl.chat.handler.BigModelHandler |线程2
