2024-03-26 12:01:15 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1711425674450_120.227.131.99_45507
2024-03-26 12:01:15 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Notify connected event to listeners.
2024-03-26 12:01:15 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-26 12:01:15 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[2c9a7310-b872-4fd0-bd48-b9a871114aa4] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$858/559546980
2024-03-26 12:01:17 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-3000"]
2024-03-26 12:01:17 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 3000 (http) with context path ''
2024-03-26 12:01:17 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP user-center 192.168.10.5:3000 register finished
2024-03-26 12:01:17 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-26 12:01:17 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-26 12:01:17 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-26 12:01:17 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.user_center.CenterEditApplication |Started CenterEditApplication in 14.903 seconds (JVM running for 16.253)
2024-03-26 12:01:33 |INFO  |http-nio-3000-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-26 12:01:33 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-26 12:01:33 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2024-03-26 12:02:33 |INFO  |Thread-12 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-03-26 12:02:34 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-03-26 12:02:34 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-03-26 12:02:34 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
2024-03-26 12:02:46 |INFO  |main |StartupInfoLogger.java:55 |ljl.bilibili.user_center.CenterEditApplication |Starting CenterEditApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 7724 (E:\bilibili\user_center\target\classes started by Administrator in E:\bilibili)
2024-03-26 12:02:46 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.user_center.CenterEditApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-26 12:02:49 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=1d3c00c5-baaf-30b0-813c-97d4c3992ba0
2024-03-26 12:02:50 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 3000 (http)
2024-03-26 12:02:50 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-3000"]
2024-03-26 12:02:50 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-26 12:02:50 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-26 12:02:50 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-26 12:02:50 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 4303 ms
2024-03-26 12:02:51 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-26 12:02:51 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-26 12:02:54 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-26 12:02:55 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 38b10a23-7a86-4749-a38f-d7b5e716d016
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 35 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 16 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 17 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 206 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-26 12:02:55 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 165 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 12:02:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-26 12:02:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-26 12:02:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-26 12:02:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-26 12:02:55 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[38b10a23-7a86-4749-a38f-d7b5e716d016] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
